time	neuronID	deltaRR	tissue	trialN	stim
14	6	0.0189407225534899	antenna	9	heat
15	6	0.0206944931602945	antenna	9	heat
16	6	0.013679410733076	antenna	9	heat
17	6	0.00666432830585744	antenna	9	heat
18	6	0.00491055769905281	antenna	9	heat
19	6	0.00841809891266207	antenna	9	heat
20	6	-0.0862855138547878	antenna	9	heat
21	6	-0.0880392844615925	antenna	9	heat
22	6	-0.0915468256752017	antenna	9	heat
23	6	-0.0845317432479832	antenna	9	heat
24	6	-0.0792704314275693	antenna	9	heat
25	6	-0.07576289021396	antenna	9	heat
26	6	-0.0705015783935461	antenna	9	heat
27	6	-0.0669940371799369	antenna	9	heat
28	6	-0.0599789547527184	antenna	9	heat
29	6	-0.061732725359523	antenna	9	heat
30	6	-0.0599789547527184	antenna	9	heat
31	6	-0.0494563311118906	antenna	9	heat
32	6	-0.0477025605050859	antenna	9	heat
33	6	-0.0477025605050859	antenna	9	heat
34	6	-0.0441950192914767	antenna	9	heat
35	6	-0.0459487898982813	antenna	9	heat
36	6	-0.042441248684672	antenna	9	heat
37	6	-0.042441248684672	antenna	9	heat
38	6	-0.0441950192914767	antenna	9	heat
39	6	-0.0389337074710628	antenna	9	heat
40	6	-0.0389337074710628	antenna	9	heat
0	7	-0.0275637733264852	antenna	9	heat
1	7	-0.034411915767848	antenna	9	heat
2	7	-0.034411915767848	antenna	9	heat
3	7	-0.0361239513781887	antenna	9	heat
4	7	-0.0412600582092106	antenna	9	heat
5	7	-0.0104434172230782	antenna	9	heat
6	7	-0.0258517377161445	antenna	9	heat
7	7	-0.0309878445471666	antenna	9	heat
8	7	-0.0309878445471666	antenna	9	heat
9	7	-0.0309878445471666	antenna	9	heat
10	7	-0.0326998801575073	antenna	9	heat
11	7	-0.0275637733264852	antenna	9	heat
12	7	-0.0121554528334189	antenna	9	heat
13	7	0.022085259373395	antenna	9	heat
14	7	0.0169491525423729	antenna	9	heat
15	7	0.0118130457113508	antenna	9	heat
