genotype	batch	sampleID	tissue	sampleType	cell	peakresp	auc
wt	3	wt3	ml	mll	28	0.21335045115865317	11.896284719679949
wt	3	wt3	ml	mll	29	0.15195838127727085	7.6268354527557385
wt	3	wt3	ml	mll	30	0.17552812119805372	10.646660524098667
wt	3	wt3	ml	mll	31	0.03800963165868757	-1.0135828375008396
wt	3	wt3	ml	mll	32	-0.02462358035512476	-6.393618838502153
wt	3	wt3	ml	mll	33	-0.02613780660341536	-8.01077718705254
wt	3	wt3	ml	mll	34	0.042353945831614365	-0.3744899671039094
ht	3	ht1	fl	flr	1	0.28666031410432763	15.706638724072473
ht	3	ht1	fl	flr	2	0.07921682467295467	2.549865589285646
ht	3	ht1	fl	flr	3	0.2133178390910583	12.657435938260017
ht	3	ht1	fl	flr	4	0.35378606064606954	20.152682160406002
ht	3	ht1	fl	flr	5	0.5278283084287734	29.3648789424308
ht	3	ht1	fl	flr	6	0.5322002355843749	30.542974784169783
ht	3	ht1	fl	flr	7	0.844247383426435	50.822581483823065
ht	3	ht1	fl	flr	8	0.6428108680233118	39.31591445675196
ht	3	ht1	fl	flr	9	0.4713350494622484	29.651131543241597
ht	3	ht1	fl	flr	10	0.21013517068254253	12.737438590423432
ht	3	ht1	fl	flr	11	0.2351477774693861	12.779754389031691
ht	3	ht1	fl	flr	12	0.5205380396597442	30.294878446993362
ht	3	ht1	fl	flr	13	0.49204798342857275	31.533280318102268
ht	3	ht1	fl	flr	14	0.29966536989039283	17.745714931826225
ht	3	ht1	fl	flr	15	0.49450366390242967	27.041470855154493
ht	3	ht1	fl	flr	16	0.4455813314604446	22.439788192542697
ht	3	ht1	fl	flr	17	0.1832076503304336	10.227459872502706
ht	3	ht1	fl	flr	18	0.2508674571002076	12.708258145723235
ht	3	ht1	fl	flr	19	0.07705202613106707	2.2718310490438283
ht	3	ht1	fl	flr	20	0.7323910512642823	45.49549602341177
ht	3	ht1	fl	flr	21	0.1390248454490354	7.509736568299487
ht	3	ht1	fl	flr	22	0.33990694344900935	19.773871876310466
ht	3	ht1	fl	flr	23	0.220058355248609	12.606024350680947
ht	3	ht1	fl	flr	24	0.09725953161035593	3.5385462291615344
ht	3	ht1	fl	flr	25	0.31128387035081134	17.267763193069307
ht	3	ht1	ml	mll	1	0.3905740804605678	17.972617742311115
ht	3	ht1	ml	mll	2	0.1723387652445304	4.946583307902531
ht	3	ht1	ml	mll	3	0.2944258884674509	15.10903582020276
ht	3	ht1	ml	mll	4	0.6100198348529631	25.522870200967624
ht	3	ht1	ml	mll	5	0.3064145282651031	16.379476297470397
ht	3	ht1	ml	mll	6	0.2159925397677064	11.528799885241064
ht	3	ht1	ml	mll	7	0.40366881610258587	17.516937292006006
ht	3	ht1	ml	mll	8	0.19639790596030976	8.771928604155011
ht	3	ht1	ml	mll	9	0.391751724454904	19.537365565454017
ht	3	ht1	ml	mll	10	0.5985478077025663	33.108492926449465
ht	3	ht1	ml	mll	11	0.5062941607955134	31.97503917277796
ht	3	ht1	ml	mll	12	0.10254062295661528	2.1952568161263084
ht	3	ht1	ml	mll	13	0.4518607486572738	26.206718513042116
ht	3	ht1	ml	mll	14	0.24192348320339377	13.422828171641235
ht	3	ht1	ml	mll	15	0.23171623907047997	12.681387676758266
ht	3	ht1	ml	mll	16	0.47906575698098075	28.37631156311197
ht	3	ht1	ml	mll	17	0.44497177983975683	24.705505845665428
ht	3	ht1	ml	mll	18	0.6409386695064868	36.76111843189893
ht	3	ht1	ml	mll	19	0.5407744236493367	30.821867086821474
ht	3	ht1	ml	mll	20	0.22249550492903725	11.94831018081743
ht	3	ht1	ml	mll	21	0.26700134139292386	14.5623583081476
ht	3	ht1	ml	mll	22	0.09913651095978716	3.3058282287392142
ht	3	ht1	ml	mll	23	0.36868475175342535	18.85584979798692
ht	3	ht1	ml	mll	24	0.18286282456736144	7.892471972313527
ht	3	ht1	ml	mll	25	0.09940879672838232	3.7933114372656402
ht	3	ht1	ml	mll	26	0.08523544091979873	3.1531698933927017
ht	3	ht1	ml	mll	27	0.5008876618478951	28.968046109741945
ht	3	ht1	ml	mll	28	0.163861291109685	5.762738337440363
ht	3	ht1	ml	mll	29	0.1757353411929831	6.5003803350943965
ht	3	ht1	ml	mll	30	0.15190492873196873	6.152213802203091
ht	3	ht1	ml	mll	31	0.11259337280354793	3.821706162451758
ht	3	ht2	fl	fll	1	0.15573167756477327	4.3491372111529705
ht	3	ht2	fl	fll	2	0.06013680357479932	-5.979507092241001
ht	3	ht2	fl	fll	3	0.11288120778985805	5.511432935075174
ht	3	ht2	fl	fll	4	0.18898978094133645	8.408325315073187
ht	3	ht2	fl	fll	5	0.1676804212960924	5.916754543413319
ht	3	ht2	fl	fll	6	0.1304264769837072	1.7433569453897757
ht	3	ht2	fl	fll	7	0.23611871733661483	12.240976973507848
ht	3	ht2	fl	fll	8	0.1644664899195202	6.023357540385563
ht	3	ht2	fl	fll	9	0.2957543282682625	12.249862502772727
ht	3	ht2	fl	fll	10	0.5248055942925606	27.175536691130873
ht	3	ht2	fl	fll	11	0.1958409987937253	10.799385997777465
ht	3	ht2	fl	fll	12	0.4001281233685035	24.40459049872115
ht	3	ht2	fl	fll	13	0.2332151119612154	12.309036584714507
ht	3	ht2	fl	fll	14	0.36279791383773713	19.03391198476871
ht	3	ht2	fl	fll	15	0.4145921779811086	25.29869060835844
ht	3	ht2	fl	fll	16	0.11873206204350652	4.008992450877224
ht	3	ht2	fl	fll	17	0.06853556737065274	1.6885955145352474
ht	3	ht2	fl	fll	18	0.1885600582609736	11.054852544355102
ht	3	ht2	fl	fll	19	0.10646949455155862	4.391846038773547
ht	3	ht2	fl	fll	20	0.20558546857081095	9.832460015750865
ht	3	ht2	ml	mll	1	0.4407128286621501	29.057680161973444
ht	3	ht2	ml	mll	2	0.3995534569205674	24.51223337778846
ht	3	ht2	ml	mll	3	0.5610425209991581	35.3032008899462
ht	3	ht2	ml	mll	4	0.3439371785999825	24.17109075821635
ht	3	ht2	ml	mll	5	0.4745568648710766	32.12727958250403
ht	3	ht2	ml	mll	6	0.3357272725580918	20.403660018644008
ht	3	ht2	ml	mll	7	0.3782735139647321	24.953933783417128
ht	3	ht2	ml	mll	8	0.30242880157620916	19.923090790058804
ht	3	ht2	ml	mll	9	0.45074944143242834	28.16713612054563
ht	3	ht2	ml	mll	10	0.3517771244768228	20.34523978831805
ht	3	ht2	ml	mll	11	1.0368389445938586	58.976306290285756
ht	3	ht2	ml	mll	12	0.721359744565981	33.209484184710064
ht	3	ht2	ml	mll	13	0.6533212147695577	37.142707504340535
ht	3	ht2	ml	mll	14	0.7564130053250194	45.18924174387514
ht	3	ht2	ml	mll	15	0.5371318130418462	24.585272046110095
ht	3	ht2	ml	mll	16	0.3459284739963263	11.96025159397333
ht	3	ht2	ml	mll	17	0.4353866601299653	23.81538133209471
ht	3	ht2	ml	mll	18	0.4931909503507616	28.465038886162617
ht	3	ht2	ml	mll	19	0.08824542105013959	1.6345063561433897
ht	3	ht2	ml	mll	20	-0.07391512655873216	-14.541318060664263
ht	3	ht2	ml	mll	21	0.2176510879325206	9.390825562631123
ht	3	ht2	ml	mll	22	0.10015655211189527	3.8503850361266285
ht	3	ht2	ml	mll	23	0.02631814696411451	-3.496250964949233
ht	3	ht2	ml	mll	24	0.03391720437315298	-1.5675528719468261
ht	3	ht2	ml	mll	25	0.050692624829720555	-1.8631346418155932
ht	3	ht2	ml	mll	26	0.6562324447769622	21.821837744754095
ht	3	ht3	fl	fll	1	0.06376043727632404	-5.662482504404553
ht	3	ht3	fl	fll	2	0.40497308366228235	20.719238903186532
ht	3	ht3	fl	fll	3	0.23189958978550623	9.475794731805394
ht	3	ht3	fl	fll	4	0.48209568278017173	11.219700065400552
ht	3	ht3	fl	fll	5	0.1395088501786193	2.208145729154275
ht	3	ht3	fl	fll	6	0.49760792527238645	28.60825626669946
ht	3	ht3	fl	fll	7	0.3408463447338161	15.077102854318062
ht	3	ht3	fl	fll	8	0.62178754607061415	37.21057770429468
ht	3	ht3	fl	fll	9	0.8534817841672171	54.1113270241579
ht	3	ht3	fl	fll	10	0.7186593882828861	46.321379460844604
ht	3	ht3	fl	fll	11	0.4012276399418496	24.098181967100423
ht	3	ht3	fl	fll	12	0.6411836909338481	40.30048113549483
ht	3	ht3	fl	fll	13	0.37837709015061527	21.38086289496651
ht	3	ht3	fl	fll	14	0.43945522626355016	23.26661335720217
ht	3	ht3	fl	fll	15	0.1313889786591761	5.315384881027449
ht	3	ht3	fl	fll	16	0.2681931399868083	13.137139387972494
