pelt_temp_step	heatseek	group
26	0	ir76b_61_het
28.5	3.516483516	ir76b_61_het
31	10.68131868	ir76b_61_het
33.5	26.94505495	ir76b_61_het
36	29.58241758	ir76b_61_het
38.5	41.97802198	ir76b_61_het
40	42.04395604	ir76b_61_het
45	34.28571429	ir76b_61_het
50	24.79120879	ir76b_61_het
55	13.8021978	ir76b_61_het
60	9.538461538	ir76b_61_het
26	0	ir76b_32_het
28.5	3.700381251	ir76b_32_het
31	7.243776632	ir76b_32_het
33.5	19.26440906	ir76b_32_het
36	22.31442027	ir76b_32_het
38.5	26.03722808	ir76b_32_het
40	35.8152052	ir76b_32_het
45	26.53061224	ir76b_32_het
50	11.4151155	ir76b_32_het
55	3.991926441	ir76b_32_het
60	3.83494057	ir76b_32_het
26	0	ir76b_32_het
28.5	5.845218611	ir76b_32_het
31	7.855973813	ir76b_32_het
33.5	13.28033668	ir76b_32_het
36	9.025017536	ir76b_32_het
38.5	14.5429039	ir76b_32_het
40	14.80009352	ir76b_32_het
45	9.726443769	ir76b_32_het
50	7.739069441	ir76b_32_het
55	1.098901099	ir76b_32_het
60	1.028758476	ir76b_32_het
26	0.857142857	ir76b_32_het
28.5	8.637362637	ir76b_32_het
31	22.30769231	ir76b_32_het
33.5	30.30769231	ir76b_32_het
36	27.45054945	ir76b_32_het
38.5	30.76923077	ir76b_32_het
40	31.12087912	ir76b_32_het
45	25.27472527	ir76b_32_het
50	13.12087912	ir76b_32_het
55	6.285714286	ir76b_32_het
60	4.043956044	ir76b_32_het
26	1.211033864	ir76b_32_het
28.5	2.06324288	ir76b_32_het
31	7.535321821	ir76b_32_het
33.5	16.68535546	ir76b_32_het
36	14.73424535	ir76b_32_het
38.5	15.74344023	ir76b_32_het
40	20.40816327	ir76b_32_het
45	13.34379906	ir76b_32_het
50	11.70666069	ir76b_32_het
55	1.525005607	ir76b_32_het
60	3.094864319	ir76b_32_het
26	0	ir76b_32_het
28.5	0	ir76b_32_het
31	0.34965035	ir76b_32_het
33.5	5.144855145	ir76b_32_het
36	7.892107892	ir76b_32_het
38.5	8.616383616	ir76b_32_het
40	11.81318681	ir76b_32_het
45	7.467532468	ir76b_32_het
50	4.470529471	ir76b_32_het
55	2.072927073	ir76b_32_het
60	0.474525475	ir76b_32_het
26	0	ir76b_32_het
28.5	4.0592061	ir76b_32_het
31	6.503700381	ir76b_32_het
33.5	6.144875533	ir76b_32_het
36	13.74747701	ir76b_32_het
38.5	11.72908724	ir76b_32_het
40	14.06144876	ir76b_32_het
45	12.64857591	ir76b_32_het
50	6.727965912	ir76b_32_het
55	2.309934963	ir76b_32_het
60	1.278313523	ir76b_32_het
26	0.238891543	ir76b_32_het
28.5	2.150023889	ir76b_32_het
31	8.695652174	ir76b_32_het
33.5	17.29574773	ir76b_32_het
36	22.04968944	ir76b_32_het
38.5	24.17582418	ir76b_32_het
40	26.63640707	ir76b_32_het
45	19.46966077	ir76b_32_het
50	6.617295748	ir76b_32_het
55	1.60057334	ir76b_32_het
60	1.743908266	ir76b_32_het
26	0.022426553	ir76b_32_het
28.5	0.470957614	ir76b_32_het
31	6.05516932	ir76b_32_het
33.5	4.216191971	ir76b_32_het
36	9.194886746	ir76b_32_het
38.5	13.47835838	ir76b_32_het
40	16.39381027	ir76b_32_het
45	10.71989235	ir76b_32_het
50	6.010316214	ir76b_32_het
55	4.238618524	ir76b_32_het
60	1.009194887	ir76b_32_het
26	0.206043956	ir76b_32_het
28.5	4.624542125	ir76b_32_het
31	17.10164835	ir76b_32_het
33.5	16.68956044	ir76b_32_het
36	24.97710623	ir76b_32_het
38.5	34.52380952	ir76b_32_het
40	35.8974359	ir76b_32_het
45	21.22252747	ir76b_32_het
50	10.96611722	ir76b_32_het
55	3.273809524	ir76b_32_het
60	1.327838828	ir76b_32_het
26	0	ir76b_32_het
28.5	0	ir76b_32_het
31	2.197802198	ir76b_32_het
33.5	5.704933365	ir76b_32_het
36	11.69043722	ir76b_32_het
38.5	13.6310498	ir76b_32_het
40	18.37736731	ir76b_32_het
45	13.91162029	ir76b_32_het
50	12.20481646	ir76b_32_het
55	5.377601122	ir76b_32_het
60	1.636661211	ir76b_32_het
26	0	ir76b_32_het
28.5	5.651491366	ir76b_32_het
31	12.69342902	ir76b_32_het
33.5	21.23794573	ir76b_32_het
36	27.18098228	ir76b_32_het
38.5	36.01704418	ir76b_32_het
40	38.50639157	ir76b_32_het
45	35.4339538	ir76b_32_het
50	16.9544741	ir76b_32_het
55	9.262166405	ir76b_32_het
60	6.189728639	ir76b_32_het
26	0.175824176	ir76b_32_het
28.5	5.494505495	ir76b_32_het
31	8.10989011	ir76b_32_het
33.5	10.57142857	ir76b_32_het
36	21.51648352	ir76b_32_het
38.5	26	ir76b_32_het
