trialName	time	nFlying	pFlying	group	session
H	150	7	35	ir25a_BamHI_het	3
H	180	7	35	ir25a_BamHI_het	3
H	210	7	35	ir25a_BamHI_het	3
H	240	6	30	ir25a_BamHI_het	3
H	270	6	30	ir25a_BamHI_het	3
H	300	2	10	ir25a_BamHI_het	3
A	-60	1	5	ir25a_BamHI19_ko	4
A	-30	0	0	ir25a_BamHI19_ko	4
A	0	0	0	ir25a_BamHI19_ko	4
A	30	5	25	ir25a_BamHI19_ko	4
A	60	6	30	ir25a_BamHI19_ko	4
A	90	5	25	ir25a_BamHI19_ko	4
A	120	6	30	ir25a_BamHI19_ko	4
A	150	6	30	ir25a_BamHI19_ko	4
A	180	4	20	ir25a_BamHI19_ko	4
A	210	2	10	ir25a_BamHI19_ko	4
A	240	8	40	ir25a_BamHI19_ko	4
A	270	2	10	ir25a_BamHI19_ko	4
A	300	3	15	ir25a_BamHI19_ko	4
B	-60	1	5.26315789473684	ir25a_19_het	4
B	-30	0	0	ir25a_19_het	4
B	0	0	0	ir25a_19_het	4
B	30	6	31.5789473684211	ir25a_19_het	4
B	60	7	36.8421052631579	ir25a_19_het	4
B	90	9	47.3684210526316	ir25a_19_het	4
B	120	8	42.1052631578947	ir25a_19_het	4
B	150	6	31.5789473684211	ir25a_19_het	4
B	180	8	42.1052631578947	ir25a_19_het	4
B	210	4	21.0526315789474	ir25a_19_het	4
B	240	5	26.3157894736842	ir25a_19_het	4
B	270	4	21.0526315789474	ir25a_19_het	4
B	300	4	21.0526315789474	ir25a_19_het	4
C	-60	2	10	ir25a_BamHI_het	4
C	-30	2	10	ir25a_BamHI_het	4
C	0	2	10	ir25a_BamHI_het	4
C	30	9	45	ir25a_BamHI_het	4
C	60	13	65	ir25a_BamHI_het	4
C	90	5	25	ir25a_BamHI_het	4
C	120	8	40	ir25a_BamHI_het	4
C	150	10	50	ir25a_BamHI_het	4
C	180	8	40	ir25a_BamHI_het	4
C	210	3	15	ir25a_BamHI_het	4
C	240	4	20	ir25a_BamHI_het	4
C	270	4	20	ir25a_BamHI_het	4
C	300	7	35	ir25a_BamHI_het	4
D	-60	0	0	ir25a_BamHI_het	4
D	-30	0	0	ir25a_BamHI_het	4
D	0	0	0	ir25a_BamHI_het	4
D	30	8	40	ir25a_BamHI_het	4
D	60	8	40	ir25a_BamHI_het	4
D	90	13	65	ir25a_BamHI_het	4
D	120	7	35	ir25a_BamHI_het	4
D	150	5	25	ir25a_BamHI_het	4
D	180	4	20	ir25a_BamHI_het	4
D	210	7	35	ir25a_BamHI_het	4
D	240	6	30	ir25a_BamHI_het	4
D	270	4	20	ir25a_BamHI_het	4
D	300	6	30	ir25a_BamHI_het	4
E	-60	1	5	ir25a_19_het	4
E	-30	0	0	ir25a_19_het	4
E	0	0	0	ir25a_19_het	4
E	30	15	75	ir25a_19_het	4
E	60	14	70	ir25a_19_het	4
E	90	10	50	ir25a_19_het	4
E	120	6	30	ir25a_19_het	4
E	150	6	30	ir25a_19_het	4
E	180	4	20	ir25a_19_het	4
E	210	6	30	ir25a_19_het	4
E	240	6	30	ir25a_19_het	4
E	270	6	30	ir25a_19_het	4
E	300	5	25	ir25a_19_het	4
F	-60	0	0	lvp_wt	4
F	-30	0	0	lvp_wt	4
F	0	1	5	lvp_wt	4
F	30	11	55	lvp_wt	4
F	60	11	55	lvp_wt	4
F	90	9	45	lvp_wt	4
F	120	9	45	lvp_wt	4
F	150	10	50	lvp_wt	4
F	180	4	20	lvp_wt	4
F	210	6	30	lvp_wt	4
F	240	6	30	lvp_wt	4
F	270	7	35	lvp_wt	4
F	300	3	15	lvp_wt	4
G	-60	0	0	ir25a_BamHI19_ko	4
G	-30	0	0	ir25a_BamHI19_ko	4
G	0	0	0	ir25a_BamHI19_ko	4
G	30	10	50	ir25a_BamHI19_ko	4
G	60	7	35	ir25a_BamHI19_ko	4
G	90	9	45	ir25a_BamHI19_ko	4
G	120	8	40	ir25a_BamHI19_ko	4
G	150	7	35	ir25a_BamHI19_ko	4
G	180	5	25	ir25a_BamHI19_ko	4
G	210	2	10	ir25a_BamHI19_ko	4
G	240	4	20	ir25a_BamHI19_ko	4
G	270	6	30	ir25a_BamHI19_ko	4
G	300	3	15	ir25a_BamHI19_ko	4
H	-60	2	10.5263157894737	lvp_wt	4
H	-30	3	15.7894736842105	lvp_wt	4
H	0	2	10.5263157894737	lvp_wt	4
H	30	11	57.8947368421053	lvp_wt	4
H	60	8	42.1052631578947	lvp_wt	4
H	90	9	47.3684210526316	lvp_wt	4
H	120	10	52.6315789473684	lvp_wt	4
H	150	11	57.8947368421053	lvp_wt	4
H	180	8	42.1052631578947	lvp_wt	4
H	210	7	36.8421052631579	lvp_wt	4
H	240	9	47.3684210526316	lvp_wt	4
H	270	7	36.8421052631579	lvp_wt	4
H	300	8	42.1052631578947	lvp_wt	4
A	-60	0	0	ir25a_BamHI_het	5
A	-30	0	0	ir25a_BamHI_het	5
A	0	0	0	ir25a_BamHI_het	5
A	30	10	55.5555555555556	ir25a_BamHI_het	5
A	60	8	44.4444444444444	ir25a_BamHI_het	5
A	90	10	55.5555555555556	ir25a_BamHI_het	5
A	120	5	27.7777777777778	ir25a_BamHI_het	5
A	150	10	55.5555555555556	ir25a_BamHI_het	5
A	180	10	55.5555555555556	ir25a_BamHI_het	5
A	210	9	50	ir25a_BamHI_het	5
A	240	5	27.7777777777778	ir25a_BamHI_het	5
A	270	4	22.2222222222222	ir25a_BamHI_het	5
A	300	8	44.4444444444444	ir25a_BamHI_het	5
B	-60	0	0	ir25a_BamHI19_ko	5
B	-30	0	0	ir25a_BamHI19_ko	5
B	0	4	20	ir25a_BamHI19_ko	5
B	30	14	70	ir25a_BamHI19_ko	5
B	60	12	60	ir25a_BamHI19_ko	5
B	90	10	50	ir25a_BamHI19_ko	5
B	120	9	45	ir25a_BamHI19_ko	5
B	150	9	45	ir25a_BamHI19_ko	5
B	180	6	30	ir25a_BamHI19_ko	5
B	210	6	30	ir25a_BamHI19_ko	5
B	240	8	40	ir25a_BamHI19_ko	5
B	270	7	35	ir25a_BamHI19_ko	5
B	300	7	35	ir25a_BamHI19_ko	5
C	-60	0	0	ir25a_BamHI_het	5
C	-30	1	5	ir25a_BamHI_het	5
C	0	0	0	ir25a_BamHI_het	5
C	30	7	35	ir25a_BamHI_het	5
C	60	6	30	ir25a_BamHI_het	5
C	90	6	30	ir25a_BamHI_het	5
C	120	7	35	ir25a_BamHI_het	5
C	150	6	30	ir25a_BamHI_het	5
C	180	5	25	ir25a_BamHI_het	5
C	210	5	25	ir25a_BamHI_het	5
C	240	6	30	ir25a_BamHI_het	5
C	270	6	30	ir25a_BamHI_het	5
C	300	5	25	ir25a_BamHI_het	5
D	-60	2	10	ir25a_19_het	5
D	-30	2	10	ir25a_19_het	5
D	0	3	15	ir25a_19_het	5
D	30	11	55	ir25a_19_het	5
D	60	8	40	ir25a_19_het	5
D	90	9	45	ir25a_19_het	5
D	120	9	45	ir25a_19_het	5
D	150	8	40	ir25a_19_het	5
D	180	5	25	ir25a_19_het	5
