pelt_temp_step	heatseek	group
33.5	3.89010989	orco_16_het
36	4.087912088	orco_16_het
38.5	10.28571429	orco_16_het
40	11.82417582	orco_16_het
45	8.659340659	orco_16_het
50	3.406593407	orco_16_het
55	1.142857143	orco_16_het
60	1.604395604	orco_16_het
26	0.835164835	orco_16_het
28.5	0.747252747	orco_16_het
31	2.967032967	orco_16_het
33.5	6.43956044	orco_16_het
36	7.802197802	orco_16_het
38.5	7.802197802	orco_16_het
40	9.406593407	orco_16_het
45	10.54945055	orco_16_het
50	8.967032967	orco_16_het
55	1.648351648	orco_16_het
60	0.483516484	orco_16_het
26	0.263736264	orco_516_ko
28.5	0.197802198	orco_516_ko
31	14.10989011	orco_516_ko
33.5	28.79120879	orco_516_ko
36	27.95604396	orco_516_ko
38.5	22.50549451	orco_516_ko
40	27.64835165	orco_516_ko
45	21.73626374	orco_516_ko
50	9.736263736	orco_516_ko
55	3.516483516	orco_516_ko
60	1.274725275	orco_516_ko
26	2.945054945	orco_516_ko
28.5	3.472527473	orco_516_ko
31	24.10989011	orco_516_ko
33.5	30.65934066	orco_516_ko
36	31.82417582	orco_516_ko
38.5	36.26373626	orco_516_ko
40	31.62637363	orco_516_ko
45	24.37362637	orco_516_ko
50	9.912087912	orco_516_ko
55	4.263736264	orco_516_ko
60	1.318681319	orco_516_ko
26	1.296703297	orco_516_ko
28.5	3.934065934	orco_516_ko
31	29.93406593	orco_516_ko
33.5	27.05494505	orco_516_ko
36	34.98901099	orco_516_ko
38.5	39.51648352	orco_516_ko
40	38.1978022	orco_516_ko
45	30.7032967	orco_516_ko
50	10.30769231	orco_516_ko
55	2.901098901	orco_516_ko
60	1.516483516	orco_516_ko
26	4.285714286	orco_516_ko
28.5	2.21978022	orco_516_ko
31	16.79120879	orco_516_ko
33.5	24.02197802	orco_516_ko
36	24.32967033	orco_516_ko
38.5	18.17582418	orco_516_ko
40	16.85714286	orco_516_ko
45	22.48351648	orco_516_ko
50	8.505494505	orco_516_ko
55	1.318681319	orco_516_ko
60	0.857142857	orco_516_ko
26	3.626373626	orco_516_ko
28.5	2.747252747	orco_516_ko
31	23.62637363	orco_516_ko
33.5	32.48351648	orco_516_ko
36	35.82417582	orco_516_ko
38.5	35.71428571	orco_516_ko
40	38.76923077	orco_516_ko
45	25.56043956	orco_516_ko
50	12.81318681	orco_516_ko
55	3.076923077	orco_516_ko
60	0.989010989	orco_516_ko
26	0	orco_516_ko
28.5	8.791208791	orco_516_ko
31	36.59340659	orco_516_ko
33.5	45.18681319	orco_516_ko
36	52.10989011	orco_516_ko
38.5	45.27472527	orco_516_ko
40	46.52747253	orco_516_ko
45	34.63736264	orco_516_ko
50	18.37362637	orco_516_ko
55	5.274725275	orco_516_ko
60	1.912087912	orco_516_ko
26	0.153846154	orco_516_ko
28.5	5.384615385	orco_516_ko
31	24.10989011	orco_516_ko
33.5	24.54945055	orco_516_ko
36	38.85714286	orco_516_ko
