trialName	time	nFlying	pFlying	group	session
A	150	9	45	orl_wt	4
A	180	8	40	orl_wt	4
A	210	9	45	orl_wt	4
A	240	5	25	orl_wt	4
A	270	4	20	orl_wt	4
A	300	3	15	orl_wt	4
B	-60	0	0	orco_16_het	4
B	-30	1	5	orco_16_het	4
B	0	0	0	orco_16_het	4
B	30	18	90	orco_16_het	4
B	60	15	75	orco_16_het	4
B	90	14	70	orco_16_het	4
B	120	15	75	orco_16_het	4
B	150	13	65	orco_16_het	4
B	180	5	25	orco_16_het	4
B	210	6	30	orco_16_het	4
B	240	6	30	orco_16_het	4
B	270	3	15	orco_16_het	4
B	300	7	35	orco_16_het	4
C	-60	0	0	orco_516_ko	4
C	-30	0	0	orco_516_ko	4
C	0	0	0	orco_516_ko	4
C	30	11	55	orco_516_ko	4
C	60	16	80	orco_516_ko	4
C	90	13	65	orco_516_ko	4
C	120	13	65	orco_516_ko	4
C	150	10	50	orco_516_ko	4
C	180	14	70	orco_516_ko	4
C	210	13	65	orco_516_ko	4
C	240	10	50	orco_516_ko	4
C	270	4	20	orco_516_ko	4
C	300	7	35	orco_516_ko	4
D	-60	0	0	orco_5_het	4
D	-30	0	0	orco_5_het	4
D	0	0	0	orco_5_het	4
D	30	12	60	orco_5_het	4
D	60	14	70	orco_5_het	4
D	90	14	70	orco_5_het	4
D	120	14	70	orco_5_het	4
D	150	10	50	orco_5_het	4
D	180	10	50	orco_5_het	4
D	210	11	55	orco_5_het	4
D	240	7	35	orco_5_het	4
D	270	7	35	orco_5_het	4
D	300	9	45	orco_5_het	4
E	-60	1	5	orco_516_ko	4
E	-30	1	5	orco_516_ko	4
E	0	0	0	orco_516_ko	4
E	30	11	55	orco_516_ko	4
E	60	13	65	orco_516_ko	4
E	90	11	55	orco_516_ko	4
E	120	13	65	orco_516_ko	4
E	150	11	55	orco_516_ko	4
E	180	12	60	orco_516_ko	4
E	210	8	40	orco_516_ko	4
E	240	11	55	orco_516_ko	4
E	270	7	35	orco_516_ko	4
E	300	5	25	orco_516_ko	4
F	-60	0	0	orl_wt	4
F	-30	0	0	orl_wt	4
F	0	0	0	orl_wt	4
F	30	19	95	orl_wt	4
F	60	18	90	orl_wt	4
F	90	18	90	orl_wt	4
F	120	17	85	orl_wt	4
F	150	14	70	orl_wt	4
F	180	11	55	orl_wt	4
F	210	7	35	orl_wt	4
F	240	5	25	orl_wt	4
F	270	3	15	orl_wt	4
F	300	5	25	orl_wt	4
G	-60	1	5	orco_16_het	4
G	-30	0	0	orco_16_het	4
G	0	0	0	orco_16_het	4
G	30	18	90	orco_16_het	4
G	60	18	90	orco_16_het	4
G	90	18	90	orco_16_het	4
G	120	15	75	orco_16_het	4
G	150	11	55	orco_16_het	4
G	180	9	45	orco_16_het	4
G	210	4	20	orco_16_het	4
G	240	4	20	orco_16_het	4
G	270	4	20	orco_16_het	4
G	300	2	10	orco_16_het	4
H	-60	0	0	orco_5_het	4
H	-30	1	5	orco_5_het	4
H	0	0	0	orco_5_het	4
