geneID	geneClass	geneType
AAEL020532	ncRNA_gene	lncRNA
AAEL027741	ncRNA_gene	lncRNA
AAEL012102	protein_coding_gene	protein_coding
AAEL012106	protein_coding_gene	protein_coding
AAEL012094	protein_coding_gene	protein_coding
AAEL021681	ncRNA_gene	lncRNA
AAEL012098	protein_coding_gene	protein_coding
AAEL012109	protein_coding_gene	protein_coding
AAEL012104	protein_coding_gene	protein_coding
AAEL026799	ncRNA_gene	lncRNA
AAEL012103	protein_coding_gene	protein_coding
AAEL017167	protein_coding_gene	protein_coding
AAEL012110	protein_coding_gene	protein_coding
AAEL012101	protein_coding_gene	protein_coding
AAEL012107	protein_coding_gene	protein_coding
AAEL012095	protein_coding_gene	protein_coding
AAEL012105	protein_coding_gene	protein_coding
AAEL012096	protein_coding_gene	protein_coding
AAEL012099	protein_coding_gene	protein_coding
AAEL027035	protein_coding_gene	protein_coding
AAEL012100	protein_coding_gene	protein_coding
AAEL022538	protein_coding_gene	protein_coding
AAEL014130	protein_coding_gene	protein_coding
AAEL014134	protein_coding_gene	protein_coding
AAEL025548	ncRNA_gene	lncRNA
AAEL021855	ncRNA_gene	lncRNA
AAEL026394	ncRNA_gene	lncRNA
AAEL025713	protein_coding_gene	protein_coding
AAEL017048	protein_coding_gene	protein_coding
AAEL023318	ncRNA_gene	lncRNA
AAEL012796	protein_coding_gene	protein_coding
AAEL011388	protein_coding_gene	protein_coding
AAEL020295	ncRNA_gene	lncRNA
AAEL011390	protein_coding_gene	protein_coding
AAEL011377	protein_coding_gene	protein_coding
AAEL011381	protein_coding_gene	protein_coding
AAEL011389	protein_coding_gene	protein_coding
AAEL011382	protein_coding_gene	protein_coding
AAEL025124	ncRNA_gene	lncRNA
AAEL013369	protein_coding_gene	protein_coding
AAEL011386	protein_coding_gene	protein_coding
AAEL011383	protein_coding_gene	protein_coding
AAEL011379	protein_coding_gene	protein_coding
AAEL011385	protein_coding_gene	protein_coding
AAEL012233	protein_coding_gene	protein_coding
AAEL019446	protein_coding_gene	protein_coding
AAEL018922	ncRNA_gene	tRNA
AAEL024873	ncRNA_gene	lncRNA
AAEL005278	protein_coding_gene	protein_coding
AAEL005279	protein_coding_gene	protein_coding
AAEL005281	protein_coding_gene	protein_coding
AAEL005271	protein_coding_gene	protein_coding
AAEL023010	ncRNA_gene	lncRNA
AAEL005266	protein_coding_gene	protein_coding
AAEL005254	protein_coding_gene	protein_coding
AAEL025726	ncRNA_gene	lncRNA
AAEL005261	protein_coding_gene	protein_coding
AAEL011201	protein_coding_gene	protein_coding
AAEL019866	protein_coding_gene	protein_coding
AAEL011196	protein_coding_gene	protein_coding
AAEL011206	protein_coding_gene	protein_coding
AAEL022464	ncRNA_gene	lncRNA
AAEL011200	protein_coding_gene	protein_coding
AAEL027070	ncRNA_gene	lncRNA
AAEL011199	protein_coding_gene	protein_coding
AAEL011202	protein_coding_gene	protein_coding
AAEL028222	ncRNA_gene	lncRNA
AAEL011197	protein_coding_gene	protein_coding
AAEL023161	protein_coding_gene	protein_coding
AAEL026435	ncRNA_gene	lncRNA
AAEL011198	protein_coding_gene	protein_coding
AAEL011204	protein_coding_gene	protein_coding
AAEL011203	protein_coding_gene	protein_coding
AAEL028219	ncRNA_gene	lncRNA
AAEL009762	protein_coding_gene	protein_coding
AAEL009764	protein_coding_gene	protein_coding
AAEL009765	protein_coding_gene	protein_coding
AAEL009766	protein_coding_gene	protein_coding
AAEL009763	protein_coding_gene	protein_coding
AAEL000250	protein_coding_gene	protein_coding
AAEL000254	protein_coding_gene	protein_coding
AAEL000230	protein_coding_gene	protein_coding
AAEL019737	protein_coding_gene	protein_coding
AAEL000223	protein_coding_gene	protein_coding
AAEL000241	protein_coding_gene	protein_coding
AAEL024733	ncRNA_gene	lncRNA
AAEL000242	protein_coding_gene	protein_coding
AAEL024531	ncRNA_gene	lncRNA
AAEL021157	ncRNA_gene	lncRNA
AAEL000249	protein_coding_gene	protein_coding
AAEL000247	protein_coding_gene	protein_coding
AAEL000231	protein_coding_gene	protein_coding
AAEL000219	protein_coding_gene	protein_coding
AAEL000244	protein_coding_gene	protein_coding
AAEL000251	protein_coding_gene	protein_coding
AAEL000239	protein_coding_gene	protein_coding
AAEL022677	ncRNA_gene	lncRNA
AAEL000229	protein_coding_gene	protein_coding
AAEL026268	ncRNA_gene	lncRNA
AAEL000243	protein_coding_gene	protein_coding
AAEL000252	protein_coding_gene	protein_coding
AAEL029073	protein_coding_gene	protein_coding
AAEL029072	protein_coding_gene	protein_coding
AAEL023861	protein_coding_gene	protein_coding
AAEL005530	protein_coding_gene	protein_coding
AAEL029035	protein_coding_gene	protein_coding
AAEL023500	ncRNA_gene	lncRNA
AAEL005531	protein_coding_gene	protein_coding
AAEL005527	protein_coding_gene	protein_coding
AAEL005515	protein_coding_gene	protein_coding
AAEL005528	protein_coding_gene	protein_coding
AAEL025436	ncRNA_gene	lncRNA
AAEL018059	protein_coding_gene	protein_coding
AAEL005520	protein_coding_gene	protein_coding
AAEL005522	protein_coding_gene	protein_coding
AAEL005524	protein_coding_gene	protein_coding
AAEL005521	protein_coding_gene	protein_coding
AAEL025076	protein_coding_gene	protein_coding
AAEL027790	protein_coding_gene	protein_coding
AAEL026500	ncRNA_gene	lncRNA
AAEL027456	ncRNA_gene	lncRNA
AAEL020837	protein_coding_gene	protein_coding
AAEL020980	ncRNA_gene	lncRNA
AAEL005526	protein_coding_gene	protein_coding
AAEL024086	protein_coding_gene	protein_coding
AAEL005518	protein_coding_gene	protein_coding
AAEL002357	protein_coding_gene	protein_coding
AAEL022760	ncRNA_gene	lncRNA
AAEL002346	protein_coding_gene	protein_coding
AAEL002321	protein_coding_gene	protein_coding
AAEL024855	ncRNA_gene	lncRNA
AAEL027240	protein_coding_gene	protein_coding
AAEL023649	ncRNA_gene	lncRNA
AAEL020042	protein_coding_gene	protein_coding
AAEL002335	protein_coding_gene	protein_coding
AAEL002348	protein_coding_gene	protein_coding
AAEL028030	ncRNA_gene	lncRNA
AAEL018057	protein_coding_gene	protein_coding
AAEL022777	ncRNA_gene	lncRNA
AAEL002343	protein_coding_gene	protein_coding
AAEL019424	protein_coding_gene	protein_coding
AAEL002331	protein_coding_gene	protein_coding
AAEL002354	protein_coding_gene	protein_coding
AAEL018821	ncRNA_gene	tRNA
AAEL024537	ncRNA_gene	lncRNA
AAEL004167	protein_coding_gene	protein_coding
AAEL019821	protein_coding_gene	protein_coding
AAEL007657	protein_coding_gene	protein_coding
AAEL020425	protein_coding_gene	protein_coding
AAEL021777	ncRNA_gene	lncRNA
AAEL007661	protein_coding_gene	protein_coding
AAEL007662	protein_coding_gene	protein_coding
AAEL007652	protein_coding_gene	protein_coding
AAEL027128	protein_coding_gene	protein_coding
AAEL017987	protein_coding_gene	protein_coding
AAEL007648	protein_coding_gene	protein_coding
AAEL025616	ncRNA_gene	lncRNA
AAEL007651	protein_coding_gene	protein_coding
AAEL020058	ncRNA_gene	lncRNA
AAEL007660	protein_coding_gene	protein_coding
AAEL007656	protein_coding_gene	protein_coding
AAEL007650	protein_coding_gene	protein_coding
AAEL017515	protein_coding_gene	protein_coding
AAEL028085	ncRNA_gene	lncRNA
AAEL007659	protein_coding_gene	protein_coding
AAEL007653	protein_coding_gene	protein_coding
AAEL007658	protein_coding_gene	protein_coding
AAEL007655	protein_coding_gene	protein_coding
AAEL007654	protein_coding_gene	protein_coding
AAEL023139	ncRNA_gene	lncRNA
AAEL027380	protein_coding_gene	protein_coding
AAEL022586	ncRNA_gene	lncRNA
AAEL021365	protein_coding_gene	protein_coding
AAEL011293	protein_coding_gene	protein_coding
AAEL027190	protein_coding_gene	protein_coding
AAEL020939	ncRNA_gene	lncRNA
AAEL011289	protein_coding_gene	protein_coding
AAEL011288	protein_coding_gene	protein_coding
AAEL021597	ncRNA_gene	lncRNA
AAEL011287	protein_coding_gene	protein_coding
AAEL022946	pseudogene	pseudogene
AAEL024194	ncRNA_gene	lncRNA
AAEL011292	protein_coding_gene	protein_coding
AAEL012217	protein_coding_gene	protein_coding
AAEL021530	ncRNA_gene	lncRNA
AAEL022631	protein_coding_gene	protein_coding
AAEL026084	ncRNA_gene	lncRNA
AAEL004193	protein_coding_gene	protein_coding
AAEL026599	ncRNA_gene	lncRNA
AAEL004195	protein_coding_gene	protein_coding
AAEL004163	protein_coding_gene	protein_coding
AAEL004155	protein_coding_gene	protein_coding
AAEL020868	ncRNA_gene	lncRNA
AAEL004169	protein_coding_gene	protein_coding
AAEL004180	protein_coding_gene	protein_coding
AAEL004179	protein_coding_gene	protein_coding
AAEL027428	protein_coding_gene	protein_coding
AAEL027919	protein_coding_gene	protein_coding
AAEL011361	protein_coding_gene	protein_coding
AAEL011359	protein_coding_gene	protein_coding
AAEL024248	protein_coding_gene	protein_coding
AAEL011355	protein_coding_gene	protein_coding
AAEL023136	ncRNA_gene	lncRNA
AAEL026699	ncRNA_gene	lncRNA
AAEL011353	protein_coding_gene	protein_coding
AAEL011354	protein_coding_gene	protein_coding
AAEL021866	protein_coding_gene	protein_coding
AAEL011362	protein_coding_gene	protein_coding
AAEL011356	protein_coding_gene	protein_coding
AAEL011357	protein_coding_gene	protein_coding
AAEL021736	protein_coding_gene	protein_coding
AAEL013847	protein_coding_gene	protein_coding
AAEL022710	ncRNA_gene	lncRNA
AAEL004824	protein_coding_gene	protein_coding
AAEL013894	protein_coding_gene	protein_coding
AAEL004809	protein_coding_gene	protein_coding
AAEL018005	protein_coding_gene	protein_coding
Ir7k	protein_coding_gene	Ionotropic receptor 7k
Ir7i	protein_coding_gene	Ionotropic receptor 7i
AAEL025000	ncRNA_gene	lncRNA
Ir7f	protein_coding_gene	Ionotropic receptor 7f
Ir7b	protein_coding_gene	Ionotropic receptor 7b
Ir7c	protein_coding_gene	Ionotropic receptor 7c
Ir7d	protein_coding_gene	Ionotropic receptor 7d
Ir7g	protein_coding_gene	Ionotropic receptor 7g
Ir7h	protein_coding_gene	Ionotropic receptor 7h
AAEL023867	protein_coding_gene	protein_coding
AAEL023424	protein_coding_gene	protein_coding
AAEL023326	protein_coding_gene	protein_coding
AAEL028203	protein_coding_gene	protein_coding
Ir7j	protein_coding_gene	Ionotropic receptor 7j
AAEL016969	protein_coding_gene	protein_coding
AAEL025363	protein_coding_gene	protein_coding
AAEL024049	ncRNA_gene	lncRNA
AAEL013844	protein_coding_gene	protein_coding
AAEL013842	protein_coding_gene	protein_coding
AAEL013839	protein_coding_gene	protein_coding
AAEL026649	protein_coding_gene	protein_coding
AAEL024429	protein_coding_gene	protein_coding
AAEL024616	protein_coding_gene	protein_coding
AAEL013841	protein_coding_gene	protein_coding
AAEL012718	protein_coding_gene	protein_coding
AAEL027538	ncRNA_gene	lncRNA
AAEL025291	ncRNA_gene	lncRNA
AAEL021719	ncRNA_gene	lncRNA
AAEL014201	protein_coding_gene	protein_coding
AAEL014198	protein_coding_gene	protein_coding
AAEL022275	ncRNA_gene	lncRNA
AAEL012717	protein_coding_gene	protein_coding
AAEL026743	protein_coding_gene	protein_coding
AAEL008299	protein_coding_gene	protein_coding
AAEL021318	protein_coding_gene	protein_coding
AAEL020454	ncRNA_gene	lncRNA
AAEL025198	protein_coding_gene	protein_coding
AAEL015411	protein_coding_gene	protein_coding
AAEL020941	protein_coding_gene	protein_coding
AAEL026955	protein_coding_gene	protein_coding
AAEL022315	ncRNA_gene	lncRNA
AAEL019787	protein_coding_gene	protein_coding
AAEL023238	ncRNA_gene	lncRNA
AAEL019786	protein_coding_gene	protein_coding
AAEL020407	ncRNA_gene	lncRNA
AAEL025204	ncRNA_gene	lncRNA
AAEL010711	protein_coding_gene	protein_coding
AAEL027739	protein_coding_gene	protein_coding
AAEL004404	protein_coding_gene	protein_coding
AAEL022199	protein_coding_gene	protein_coding
AAEL026875	ncRNA_gene	lncRNA
AAEL022108	ncRNA_gene	lncRNA
AAEL004410	protein_coding_gene	protein_coding
AAEL025130	protein_coding_gene	protein_coding
AAEL024472	ncRNA_gene	lncRNA
AAEL025637	ncRNA_gene	lncRNA
AAEL024887	ncRNA_gene	lncRNA
AAEL015586	protein_coding_gene	protein_coding
AAEL012595	protein_coding_gene	protein_coding
AAEL023629	protein_coding_gene	protein_coding
AAEL028743	ncRNA_gene	lncRNA
AAEL028854	ncRNA_gene	lncRNA
AAEL027209	protein_coding_gene	protein_coding
AAEL020236	protein_coding_gene	protein_coding
AAEL028021	protein_coding_gene	protein_coding
AAEL022589	protein_coding_gene	protein_coding
AAEL023940	ncRNA_gene	lncRNA
AAEL027257	protein_coding_gene	protein_coding
AAEL026246	protein_coding_gene	protein_coding
AAEL026973	protein_coding_gene	protein_coding
AAEL025814	protein_coding_gene	protein_coding
AAEL024606	ncRNA_gene	lncRNA
AAEL021277	ncRNA_gene	lncRNA
AAEL021649	ncRNA_gene	lncRNA
AAEL021022	protein_coding_gene	protein_coding
AAEL024421	protein_coding_gene	protein_coding
AAEL024497	protein_coding_gene	protein_coding
AAEL025863	ncRNA_gene	lncRNA
AAEL005832	protein_coding_gene	protein_coding
AAEL015458	protein_coding_gene	protein_coding
AAEL005826	protein_coding_gene	protein_coding
AAEL005825	protein_coding_gene	protein_coding
AAEL005839	protein_coding_gene	protein_coding
AAEL024997	protein_coding_gene	protein_coding
AAEL028091	ncRNA_gene	lncRNA
AAEL022930	protein_coding_gene	protein_coding
AAEL021024	protein_coding_gene	protein_coding
Ir100b	protein_coding_gene	Ionotropic receptor 100b
Ir100a	protein_coding_gene	Ionotropic receptor 100a
Ir100c	protein_coding_gene	Ionotropic receptor 100c
Ir100d	protein_coding_gene	Ionotropic receptor 100d
AAEL015077	protein_coding_gene	protein_coding
AAEL012964	protein_coding_gene	protein_coding
AAEL020862	ncRNA_gene	lncRNA
AAEL025329	ncRNA_gene	lncRNA
AAEL021816	ncRNA_gene	lncRNA
AAEL026256	protein_coding_gene	protein_coding
AAEL011387	protein_coding_gene	protein_coding
AAEL012962	protein_coding_gene	protein_coding
AAEL021162	protein_coding_gene	protein_coding
AAEL019990	protein_coding_gene	protein_coding
AAEL023598	protein_coding_gene	protein_coding
AAEL014720	protein_coding_gene	protein_coding
AAEL022712	protein_coding_gene	protein_coding
AAEL027287	protein_coding_gene	protein_coding
AAEL014719	protein_coding_gene	protein_coding
AAEL026758	protein_coding_gene	protein_coding
AAEL022839	pseudogene	pseudogene
AAEL023069	protein_coding_gene	protein_coding
AAEL026639	ncRNA_gene	lncRNA
AAEL013679	protein_coding_gene	protein_coding
AAEL023023	ncRNA_gene	lncRNA
AAEL011728	protein_coding_gene	protein_coding
AAEL011730	protein_coding_gene	protein_coding
AAEL011727	protein_coding_gene	protein_coding
AAEL011718	protein_coding_gene	protein_coding
AAEL022615	protein_coding_gene	protein_coding
AAEL011719	protein_coding_gene	protein_coding
AAEL014389	protein_coding_gene	protein_coding
AAEL023366	ncRNA_gene	lncRNA
AAEL019539	protein_coding_gene	protein_coding
AAEL025601	ncRNA_gene	lncRNA
AAEL025449	ncRNA_gene	lncRNA
AAEL021676	protein_coding_gene	protein_coding
AAEL015559	protein_coding_gene	protein_coding
AAEL022060	ncRNA_gene	lncRNA
AAEL022855	protein_coding_gene	protein_coding
AAEL015095	protein_coding_gene	protein_coding
AAEL027829	protein_coding_gene	protein_coding
AAEL014551	protein_coding_gene	protein_coding
AAEL020599	protein_coding_gene	protein_coding
AAEL026728	ncRNA_gene	lncRNA
AAEL022233	protein_coding_gene	protein_coding
AAEL008118	protein_coding_gene	protein_coding
AAEL008109	protein_coding_gene	protein_coding
AAEL008101	protein_coding_gene	protein_coding
AAEL001008	protein_coding_gene	protein_coding
AAEL002153	protein_coding_gene	protein_coding
AAEL027812	protein_coding_gene	protein_coding
AAEL002159	protein_coding_gene	protein_coding
AAEL002139	protein_coding_gene	protein_coding
AAEL002175	protein_coding_gene	protein_coding
AAEL020161	ncRNA_gene	lncRNA
AAEL024933	ncRNA_gene	lncRNA
AAEL002170	protein_coding_gene	protein_coding
AAEL022090	ncRNA_gene	lncRNA
AAEL002158	protein_coding_gene	protein_coding
AAEL024183	ncRNA_gene	lncRNA
AAEL002152	protein_coding_gene	protein_coding
AAEL002176	protein_coding_gene	protein_coding
AAEL002161	protein_coding_gene	protein_coding
AAEL002135	protein_coding_gene	protein_coding
AAEL002148	protein_coding_gene	protein_coding
AAEL002163	protein_coding_gene	protein_coding
AAEL022440	ncRNA_gene	lncRNA
AAEL020697	ncRNA_gene	lncRNA
AAEL002287	protein_coding_gene	protein_coding
AAEL023630	ncRNA_gene	lncRNA
AAEL021698	protein_coding_gene	protein_coding
AAEL028126	ncRNA_gene	lncRNA
AAEL027370	ncRNA_gene	lncRNA
AAEL014655	protein_coding_gene	protein_coding
AAEL020841	ncRNA_gene	lncRNA
AAEL014656	protein_coding_gene	protein_coding
AAEL014657	protein_coding_gene	protein_coding
AAEL024769	ncRNA_gene	lncRNA
AAEL024484	protein_coding_gene	protein_coding
AAEL015128	protein_coding_gene	protein_coding
AAEL015127	protein_coding_gene	protein_coding
AAEL021103	protein_coding_gene	protein_coding
AAEL023395	ncRNA_gene	lncRNA
AAEL013823	protein_coding_gene	protein_coding
AAEL017391	protein_coding_gene	protein_coding
AAEL013600	protein_coding_gene	protein_coding
AAEL023829	protein_coding_gene	protein_coding
AAEL026819	protein_coding_gene	protein_coding
AAEL025035	ncRNA_gene	lncRNA
AAEL020508	protein_coding_gene	protein_coding
AAEL022743	protein_coding_gene	protein_coding
AAEL010712	protein_coding_gene	protein_coding
AAEL020321	ncRNA_gene	lncRNA
AAEL010710	protein_coding_gene	protein_coding
AAEL021121	protein_coding_gene	protein_coding
AAEL020100	protein_coding_gene	protein_coding
AAEL027520	protein_coding_gene	protein_coding
AAEL001094	protein_coding_gene	protein_coding
AAEL001099	protein_coding_gene	protein_coding
AAEL001086	protein_coding_gene	protein_coding
AAEL025612	ncRNA_gene	lncRNA
AAEL022505	protein_coding_gene	protein_coding
AAEL001080	protein_coding_gene	protein_coding
AAEL021491	protein_coding_gene	protein_coding
AAEL020806	ncRNA_gene	lncRNA
AAEL027383	ncRNA_gene	lncRNA
AAEL001439	protein_coding_gene	protein_coding
AAEL001433	protein_coding_gene	protein_coding
AAEL024862	ncRNA_gene	lncRNA
AAEL024804	ncRNA_gene	lncRNA
AAEL024396	protein_coding_gene	protein_coding
AAEL025892	protein_coding_gene	protein_coding
AAEL001427	protein_coding_gene	protein_coding
AAEL020190	protein_coding_gene	protein_coding
AAEL021728	protein_coding_gene	protein_coding
AAEL024917	pseudogene	pseudogene
AAEL026142	protein_coding_gene	protein_coding
AAEL021179	protein_coding_gene	protein_coding
AAEL014518	protein_coding_gene	protein_coding
AAEL027083	protein_coding_gene	protein_coding
AAEL028194	protein_coding_gene	protein_coding
AAEL009016	protein_coding_gene	protein_coding
AAEL009017	protein_coding_gene	protein_coding
AAEL025929	protein_coding_gene	protein_coding
AAEL017081	protein_coding_gene	protein_coding
AAEL014295	protein_coding_gene	protein_coding
AAEL022448	ncRNA_gene	lncRNA
AAEL012552	protein_coding_gene	protein_coding
AAEL018212	protein_coding_gene	protein_coding
AAEL012551	protein_coding_gene	protein_coding
AAEL028232	ncRNA_gene	lncRNA
AAEL012549	protein_coding_gene	protein_coding
AAEL014853	protein_coding_gene	protein_coding
AAEL026305	ncRNA_gene	lncRNA
AAEL022862	ncRNA_gene	lncRNA
AAEL028236	protein_coding_gene	protein_coding
AAEL021231	protein_coding_gene	protein_coding
AAEL025093	protein_coding_gene	protein_coding
AAEL026915	protein_coding_gene	protein_coding
AAEL028087	ncRNA_gene	lncRNA
AAEL027088	protein_coding_gene	protein_coding
AAEL022244	ncRNA_gene	lncRNA
AAEL028176	ncRNA_gene	lncRNA
AAEL027809	protein_coding_gene	protein_coding
AAEL014583	protein_coding_gene	protein_coding
AAEL017843	ncRNA_gene	snoRNA
AAEL020909	protein_coding_gene	protein_coding
AAEL015640	protein_coding_gene	protein_coding
AAEL021566	ncRNA_gene	lncRNA
AAEL023617	protein_coding_gene	protein_coding
AAEL021570	protein_coding_gene	protein_coding
AAEL019733	protein_coding_gene	protein_coding
AAEL020482	protein_coding_gene	protein_coding
AAEL028129	protein_coding_gene	protein_coding
AAEL020033	protein_coding_gene	protein_coding
AAEL013076	protein_coding_gene	protein_coding
AAEL013075	protein_coding_gene	protein_coding
AAEL013077	protein_coding_gene	protein_coding
AAEL013078	protein_coding_gene	protein_coding
AAEL028002	protein_coding_gene	protein_coding
AAEL019087	ncRNA_gene	lncRNA
AAEL019086	ncRNA_gene	lncRNA
AAEL026089	protein_coding_gene	protein_coding
AAEL013263	protein_coding_gene	protein_coding
AAEL013265	protein_coding_gene	protein_coding
AAEL013262	protein_coding_gene	protein_coding
AAEL027043	ncRNA_gene	lncRNA
AAEL020559	protein_coding_gene	protein_coding
AAEL024179	protein_coding_gene	protein_coding
AAEL026769	ncRNA_gene	lncRNA
AAEL022443	protein_coding_gene	protein_coding
AAEL014000	protein_coding_gene	protein_coding
AAEL024205	ncRNA_gene	lncRNA
AAEL021100	protein_coding_gene	protein_coding
AAEL025315	ncRNA_gene	lncRNA
AAEL027112	ncRNA_gene	lncRNA
AAEL021654	protein_coding_gene	protein_coding
AAEL022178	ncRNA_gene	lncRNA
AAEL020619	protein_coding_gene	protein_coding
AAEL022603	ncRNA_gene	lncRNA
AAEL022481	ncRNA_gene	lncRNA
AAEL028024	ncRNA_gene	lncRNA
AAEL025107	ncRNA_gene	lncRNA
AAEL023663	protein_coding_gene	protein_coding
AAEL024777	protein_coding_gene	protein_coding
AAEL020094	ncRNA_gene	lncRNA
AAEL023728	protein_coding_gene	protein_coding
AAEL021101	protein_coding_gene	protein_coding
AAEL027338	protein_coding_gene	protein_coding
AAEL021467	protein_coding_gene	protein_coding
AAEL025085	protein_coding_gene	protein_coding
AAEL024103	protein_coding_gene	protein_coding
AAEL026630	protein_coding_gene	protein_coding
AAEL024231	protein_coding_gene	protein_coding
AAEL021310	protein_coding_gene	protein_coding
AAEL024822	ncRNA_gene	lncRNA
AAEL021747	ncRNA_gene	lncRNA
AAEL020086	ncRNA_gene	lncRNA
AAEL024403	ncRNA_gene	lncRNA
AAEL024749	protein_coding_gene	protein_coding
AAEL027800	ncRNA_gene	lncRNA
AAEL021791	protein_coding_gene	protein_coding
AAEL024123	ncRNA_gene	lncRNA
AAEL027311	protein_coding_gene	protein_coding
AAEL001290	protein_coding_gene	protein_coding
AAEL022681	protein_coding_gene	protein_coding
AAEL001319	protein_coding_gene	protein_coding
AAEL020899	protein_coding_gene	protein_coding
AAEL021370	ncRNA_gene	lncRNA
AAEL020203	protein_coding_gene	protein_coding
AAEL023806	ncRNA_gene	lncRNA
AAEL010987	protein_coding_gene	protein_coding
AAEL020864	ncRNA_gene	lncRNA
AAEL009250	protein_coding_gene	protein_coding
AAEL024431	ncRNA_gene	lncRNA
AAEL009249	protein_coding_gene	protein_coding
AAEL020359	protein_coding_gene	protein_coding
AAEL022389	protein_coding_gene	protein_coding
AAEL015238	protein_coding_gene	protein_coding
AAEL027002	protein_coding_gene	protein_coding
AAEL025506	ncRNA_gene	lncRNA
AAEL025090	ncRNA_gene	lncRNA
AAEL021061	protein_coding_gene	protein_coding
AAEL010206	protein_coding_gene	protein_coding
AAEL013818	protein_coding_gene	protein_coding
AAEL013816	protein_coding_gene	protein_coding
AAEL013814	protein_coding_gene	protein_coding
AAEL023635	protein_coding_gene	protein_coding
AAEL020503	ncRNA_gene	lncRNA
AAEL024896	protein_coding_gene	protein_coding
AAEL013822	protein_coding_gene	protein_coding
AAEL024989	protein_coding_gene	protein_coding
AAEL026489	ncRNA_gene	lncRNA
AAEL013813	protein_coding_gene	protein_coding
AAEL014749	protein_coding_gene	protein_coding
AAEL025184	ncRNA_gene	lncRNA
AAEL014752	protein_coding_gene	protein_coding
AAEL025907	protein_coding_gene	protein_coding
AAEL025820	ncRNA_gene	lncRNA
AAEL023228	protein_coding_gene	protein_coding
AAEL020854	ncRNA_gene	lncRNA
AAEL024519	protein_coding_gene	protein_coding
AAEL024661	ncRNA_gene	lncRNA
AAEL020641	protein_coding_gene	protein_coding
AAEL002211	protein_coding_gene	protein_coding
AAEL022024	ncRNA_gene	lncRNA
Ir7a	protein_coding_gene	Ionotropic receptor 7a
AAEL019626	protein_coding_gene	protein_coding
AAEL028131	ncRNA_gene	lncRNA
AAEL021514	protein_coding_gene	protein_coding
AAEL015356	protein_coding_gene	protein_coding
AAEL012737	protein_coding_gene	protein_coding
AAEL012740	protein_coding_gene	protein_coding
AAEL025553	protein_coding_gene	protein_coding
AAEL012741	protein_coding_gene	protein_coding
AAEL024982	protein_coding_gene	protein_coding
AAEL023750	protein_coding_gene	protein_coding
AAEL013653	protein_coding_gene	protein_coding
AAEL026742	ncRNA_gene	lncRNA
AAEL022336	ncRNA_gene	lncRNA
AAEL026894	protein_coding_gene	protein_coding
AAEL013652	protein_coding_gene	protein_coding
AAEL020982	protein_coding_gene	protein_coding
AAEL026779	ncRNA_gene	lncRNA
AAEL025493	ncRNA_gene	lncRNA
AAEL019481	protein_coding_gene	protein_coding
AAEL021973	protein_coding_gene	protein_coding
AAEL009531	protein_coding_gene	protein_coding
AAEL009530	protein_coding_gene	protein_coding
AAEL019656	protein_coding_gene	protein_coding
AAEL021412	ncRNA_gene	lncRNA
AAEL025943	ncRNA_gene	lncRNA
AAEL012861	protein_coding_gene	protein_coding
AAEL024432	ncRNA_gene	lncRNA
AAEL021234	protein_coding_gene	protein_coding
AAEL023911	ncRNA_gene	lncRNA
AAEL009538	protein_coding_gene	protein_coding
AAEL004397	protein_coding_gene	protein_coding
AAEL020065	ncRNA_gene	lncRNA
AAEL026603	protein_coding_gene	protein_coding
AAEL004392	protein_coding_gene	protein_coding
Or88	protein_coding_gene	Odorant receptor 88
AAEL019038	ncRNA_gene	lncRNA
AAEL019039	ncRNA_gene	lncRNA
AAEL014196	protein_coding_gene	protein_coding
AAEL026398	ncRNA_gene	lncRNA
AAEL023376	pseudogene	pseudogene
AAEL022453	pseudogene	pseudogene
AAEL027068	pseudogene	pseudogene
AAEL022823	protein_coding_gene	protein_coding
AAEL024438	protein_coding_gene	protein_coding
AAEL026472	protein_coding_gene	protein_coding
AAEL020983	ncRNA_gene	lncRNA
AAEL023359	protein_coding_gene	protein_coding
AAEL027294	ncRNA_gene	lncRNA
AAEL007619	protein_coding_gene	protein_coding
AAEL007607	protein_coding_gene	protein_coding
AAEL021909	ncRNA_gene	lncRNA
AAEL027869	protein_coding_gene	protein_coding
AAEL026004	protein_coding_gene	protein_coding
AAEL010620	protein_coding_gene	protein_coding
AAEL019521	protein_coding_gene	protein_coding
AAEL010609	protein_coding_gene	protein_coding
AAEL007615	protein_coding_gene	protein_coding
AAEL019520	protein_coding_gene	protein_coding
AAEL026297	protein_coding_gene	protein_coding
AAEL026478	protein_coding_gene	protein_coding
AAEL023603	protein_coding_gene	protein_coding
AAEL023377	ncRNA_gene	lncRNA
AAEL015216	protein_coding_gene	protein_coding
AAEL013656	protein_coding_gene	protein_coding
AAEL023748	ncRNA_gene	lncRNA
AAEL023745	protein_coding_gene	protein_coding
AAEL010214	protein_coding_gene	protein_coding
AAEL021387	protein_coding_gene	protein_coding
AAEL025993	protein_coding_gene	protein_coding
AAEL020588	ncRNA_gene	lncRNA
AAEL018189	protein_coding_gene	protein_coding
AAEL023752	ncRNA_gene	lncRNA
AAEL010205	protein_coding_gene	protein_coding
AAEL022184	protein_coding_gene	protein_coding
AAEL020960	protein_coding_gene	protein_coding
AAEL023198	ncRNA_gene	lncRNA
AAEL003781	protein_coding_gene	protein_coding
AAEL022119	ncRNA_gene	lncRNA
AAEL003809	protein_coding_gene	protein_coding
AAEL003810	protein_coding_gene	protein_coding
