geneID	geneClass	geneType
AAEL020897	ncRNA_gene	lncRNA
AAEL024590	ncRNA_gene	lncRNA
AAEL017375	protein_coding_gene	protein_coding
AAEL000146	protein_coding_gene	protein_coding
AAEL000143	protein_coding_gene	protein_coding
AAEL027575	pseudogene	pseudogene
AAEL000111	protein_coding_gene	protein_coding
AAEL000102	protein_coding_gene	protein_coding
AAEL009385	protein_coding_gene	protein_coding
AAEL000113	protein_coding_gene	protein_coding
AAEL007518	protein_coding_gene	protein_coding
AAEL023877	protein_coding_gene	protein_coding
AAEL027689	protein_coding_gene	protein_coding
AAEL007507	protein_coding_gene	protein_coding
AAEL018754	ncRNA_gene	pre_miRNA
AAEL007512	protein_coding_gene	protein_coding
AAEL018141	protein_coding_gene	protein_coding
AAEL007511	protein_coding_gene	protein_coding
AAEL007514	protein_coding_gene	protein_coding
AAEL007508	protein_coding_gene	protein_coding
AAEL007519	protein_coding_gene	protein_coding
AAEL026347	protein_coding_gene	protein_coding
AAEL014567	protein_coding_gene	protein_coding
AAEL014571	protein_coding_gene	protein_coding
AAEL014568	protein_coding_gene	protein_coding
AAEL013026	protein_coding_gene	protein_coding
AAEL027166	protein_coding_gene	protein_coding
AAEL024256	protein_coding_gene	protein_coding
AAEL028939	ncRNA_gene	tRNA
AAEL017135	protein_coding_gene	protein_coding
AAEL009317	protein_coding_gene	protein_coding
AAEL009309	protein_coding_gene	protein_coding
AAEL009308	protein_coding_gene	protein_coding
AAEL009313	protein_coding_gene	protein_coding
AAEL009320	protein_coding_gene	protein_coding
AAEL022942	ncRNA_gene	lncRNA
AAEL009311	protein_coding_gene	protein_coding
AAEL020896	pseudogene	pseudogene
AAEL009307	protein_coding_gene	protein_coding
AAEL019734	protein_coding_gene	protein_coding
AAEL023202	protein_coding_gene	protein_coding
AAEL021135	protein_coding_gene	protein_coding
AAEL005817	protein_coding_gene	protein_coding
AAEL005811	protein_coding_gene	protein_coding
AAEL021304	protein_coding_gene	protein_coding
AAEL005798	protein_coding_gene	protein_coding
AAEL027102	ncRNA_gene	lncRNA
AAEL026465	protein_coding_gene	protein_coding
AAEL022008	protein_coding_gene	protein_coding
AAEL005822	protein_coding_gene	protein_coding
AAEL005803	protein_coding_gene	protein_coding
AAEL027285	protein_coding_gene	protein_coding
AAEL005793	protein_coding_gene	protein_coding
AAEL022305	ncRNA_gene	lncRNA
AAEL005813	protein_coding_gene	protein_coding
AAEL005802	protein_coding_gene	protein_coding
AAEL023850	protein_coding_gene	protein_coding
AAEL005816	protein_coding_gene	protein_coding
AAEL005796	protein_coding_gene	protein_coding
AAEL026710	protein_coding_gene	protein_coding
AAEL005799	protein_coding_gene	protein_coding
AAEL005819	protein_coding_gene	protein_coding
AAEL005792	protein_coding_gene	protein_coding
AAEL019781	protein_coding_gene	protein_coding
AAEL005808	protein_coding_gene	protein_coding
AAEL015247	protein_coding_gene	protein_coding
AAEL026928	protein_coding_gene	protein_coding
AAEL013240	protein_coding_gene	protein_coding
AAEL005791	protein_coding_gene	protein_coding
AAEL023915	protein_coding_gene	protein_coding
AAEL027924	protein_coding_gene	protein_coding
AAEL024332	protein_coding_gene	protein_coding
AAEL023432	ncRNA_gene	lncRNA
AAEL022903	ncRNA_gene	lncRNA
AAEL013244	protein_coding_gene	protein_coding
AAEL013243	protein_coding_gene	protein_coding
Ir101	protein_coding_gene	Ionotropic receptor 101
Ir103	protein_coding_gene	Ionotropic receptor 103
Ir104	protein_coding_gene	Ionotropic receptor 104
AAEL000384	protein_coding_gene	protein_coding
AAEL013245	protein_coding_gene	protein_coding
Ir102	protein_coding_gene	Ionotropic receptor 102
AAEL023035	protein_coding_gene	protein_coding
AAEL025542	protein_coding_gene	protein_coding
AAEL019601	protein_coding_gene	protein_coding
AAEL013546	protein_coding_gene	protein_coding
AAEL013545	protein_coding_gene	protein_coding
AAEL026044	protein_coding_gene	protein_coding
AAEL012704	protein_coding_gene	protein_coding
AAEL026023	protein_coding_gene	protein_coding
AAEL025252	protein_coding_gene	protein_coding
AAEL012703	protein_coding_gene	protein_coding
AAEL018247	protein_coding_gene	protein_coding
AAEL021449	protein_coding_gene	protein_coding
AAEL003777	protein_coding_gene	protein_coding
AAEL003801	protein_coding_gene	protein_coding
AAEL020930	protein_coding_gene	protein_coding
AAEL003794	protein_coding_gene	protein_coding
AAEL024720	protein_coding_gene	protein_coding
AAEL018307	protein_coding_gene	protein_coding
AAEL020819	ncRNA_gene	lncRNA
AAEL027937	protein_coding_gene	protein_coding
AAEL023584	ncRNA_gene	lncRNA
AAEL003785	protein_coding_gene	protein_coding
AAEL003797	protein_coding_gene	protein_coding
AAEL022767	ncRNA_gene	lncRNA
AAEL024960	protein_coding_gene	protein_coding
AAEL025468	protein_coding_gene	protein_coding
AAEL019560	protein_coding_gene	protein_coding
AAEL003773	protein_coding_gene	protein_coding
AAEL023770	ncRNA_gene	lncRNA
AAEL003779	protein_coding_gene	protein_coding
AAEL010465	protein_coding_gene	protein_coding
AAEL010474	protein_coding_gene	protein_coding
AAEL010472	protein_coding_gene	protein_coding
AAEL010470	protein_coding_gene	protein_coding
AAEL021990	ncRNA_gene	lncRNA
AAEL010473	protein_coding_gene	protein_coding
AAEL010464	protein_coding_gene	protein_coding
AAEL023327	protein_coding_gene	protein_coding
AAEL010469	protein_coding_gene	protein_coding
AAEL023675	protein_coding_gene	protein_coding
AAEL025487	ncRNA_gene	lncRNA
AAEL027464	ncRNA_gene	lncRNA
AAEL023831	ncRNA_gene	lncRNA
AAEL026328	ncRNA_gene	lncRNA
AAEL022885	ncRNA_gene	lncRNA
AAEL021917	ncRNA_gene	lncRNA
AAEL010468	protein_coding_gene	protein_coding
